Year,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing,Life expectancy 
2007,63.0,0,6.9,98.0,8.92,98.0,0.1,53324.37937,1.3,0.895,15.8,1,0,89.0
2006,337.0,3,7.28,52.0,2.13,4.0,5.3,12732.2759,9.7,0.569,9.0,0,1,54.8
2004,197.0,0,6.2,97.0,4.39,97.0,0.8,3831.53819,3.6,0.691,12.5,0,1,68.7
2010,196.0,1200,2.77,76.0,4.28,79.0,0.2,1345.77153,27.0,0.569,10.4,0,1,66.4
2007,148.0,1,3.64,94.0,4.87,92.0,0.9,462.517913,1.9,0.714,12.5,0,1,74.2
2013,96.0,1,3.42,95.0,9.47,95.0,0.1,1569.66631,1.7,0.762,13.7,0,1,79.4
2013,394.0,29,0.01,89.0,1.96,89.0,6.3,332.922339,6.5,0.459,10.7,0,1,56.7
2008,116.0,0,12.06,96.0,7.7,96.0,0.1,15893.8656,1.7,0.8,14.3,1,0,76.0
2006,496.0,54,8.5,79.0,7.57,82.0,28.1,5631.73485,1.6,0.609,12.9,0,1,54.0
2014,149.0,3,2.87,97.0,8.72,97.0,0.3,2242.711912,2.1,0.618,11.4,0,1,74.5
2011,34.0,14,1.44,85.0,5.21,85.0,2.6,562.3393592,7.1,0.457,11.5,0,1,58.3
2010,459.0,2,4.93,89.0,8.47,89.0,21.6,369.239336,5.4,0.523,11.0,0,1,53.6
2000,224.0,0,4.29,7.0,9.65,71.0,0.4,1888.61829,3.6,0.0,11.1,0,1,67.4
2007,232.0,1,7.2,94.0,6.45,94.0,1.9,2327.58324,5.7,0.62,11.2,0,1,65.7
2003,15.0,16,4.25,92.0,5.92,92.0,0.1,2246.257472,2.5,0.659,11.6,0,1,72.4
2002,3.0,88,0.01,36.0,7.76,36.0,0.1,187.84595,19.9,0.341,6.2,0,1,56.2
2000,348.0,48,3.71,45.0,5.6,45.0,4.0,226.4759814,11.4,0.0,3.4,0,1,51.0
2001,333.0,14,4.4,54.0,6.41,42.0,3.1,174.1815473,9.0,0.386,10.5,0,1,51.5
2005,566.0,2,6.37,96.0,5.62,96.0,20.6,5351.253732,1.0,0.593,11.9,0,1,51.7
2000,37.0,22,10.18,97.0,5.42,96.0,0.2,1771.58662,2.9,0.709,12.1,0,1,65.0
2001,95.0,0,0.01,99.0,3.61,99.0,0.1,1654.96761,3.2,0.786,14.0,0,1,73.2
2011,128.0,2,10.93,96.0,6.7,99.0,0.1,13893.18768,2.0,0.829,15.4,1,0,76.7
2012,369.0,50,0.01,85.0,4.34,85.0,4.6,1255.648189,5.9,0.496,10.4,0,1,55.9
2011,198.0,0,5.69,96.0,5.44,96.0,0.5,134.326189,6.0,0.546,10.6,0,1,66.6
2002,83.0,2,12.26,98.0,7.25,98.0,0.1,1719.53541,0.6,0.828,15.7,1,0,79.5
2003,41.0,567,9.75,42.0,4.5,29.0,5.4,512.65719,13.5,0.0,8.1,0,1,48.1
2004,14.0,0,4.19,94.0,5.6,93.0,0.8,1976.45856,8.7,0.574,11.1,0,1,71.4
2010,191.0,2,2.36,89.0,6.91,89.0,0.3,3474.392445,1.7,0.662,12.9,0,1,72.0
2012,237.0,2,0.01,85.0,7.11,86.0,0.8,788.632653,6.9,0.484,10.8,0,1,62.5
2002,219.0,0,7.44,98.0,6.29,97.0,0.1,4132.34927,2.7,0.746,14.8,1,0,73.0
2014,225.0,1,0.01,99.0,4.73,99.0,0.1,4181.583321,2.2,0.729,14.8,0,1,68.4
2009,124.0,0,4.45,99.0,4.24,99.0,0.4,3444.5566,7.6,0.621,12.4,0,1,72.4
2001,76.0,0,2.08,95.0,2.37,96.0,0.1,21577.7823,2.1,0.82,12.7,1,0,78.7
2001,79.0,0,5.62,95.0,7.11,95.0,0.1,1121.78636,0.7,0.783,13.7,1,0,77.8
2008,273.0,5,9.46,91.0,6.63,9.0,0.4,3891.37823,2.5,0.73,14.9,0,1,67.7
2011,161.0,2,0.01,98.0,4.77,98.0,0.1,562.549434,5.6,0.756,14.0,0,1,71.3
2012,42.0,31,0.01,95.0,12.6,96.0,8.3,374.51882,6.6,0.454,10.7,0,1,55.3
2000,397.0,51,7.3,71.0,8.7,73.0,21.3,337.2253,16.3,0.635,13.0,0,1,57.3
2005,24.0,0,0.9,9.0,7.83,89.0,0.1,88.874858,1.3,0.465,8.3,0,1,67.4
2006,145.0,4,1.96,98.0,4.6,98.0,0.1,1448.7611,15.4,0.718,13.1,0,1,73.8
2007,181.0,10,0.35,85.0,5.35,86.0,0.3,52.35956,3.8,0.586,10.9,0,1,66.1
2005,66.0,0,10.15,94.0,1.86,94.0,0.1,54797.54663,0.6,0.899,15.2,1,0,81.1
2011,161.0,2,0.5,66.0,0.76,67.0,0.1,114.56179,11.3,0.607,12.5,0,1,67.2
2007,295.0,82,0.02,63.0,6.73,63.0,0.1,369.835796,19.0,0.415,8.4,0,1,57.5
2000,183.0,111,7.26,99.0,7.3,98.0,0.1,3739.11936,3.4,0.677,14.1,0,1,75.0
2004,151.0,0,1.8,91.0,4.87,9.0,0.1,2284.37858,0.1,0.693,14.6,0,1,72.2
2009,72.0,2,8.4,89.0,11.17,91.0,0.1,4773.45436,0.5,0.898,15.9,0,1,81.0
2001,141.0,1,2.86,97.0,5.94,94.0,0.1,694.435119,2.1,0.644,11.1,0,1,72.6
2000,2.0,0,9.87,92.0,6.46,94.0,0.1,3297.35471,3.4,0.745,14.0,1,0,71.6
2000,78.0,1,10.17,9.0,8.8,9.0,0.1,2169.921,0.7,0.897,20.4,1,0,79.5
2012,138.0,0,0.01,79.0,4.51,77.0,0.1,451.542462,0.1,0.717,14.4,0,1,73.0
2006,295.0,8,7.08,99.0,3.73,99.0,0.1,5291.57565,2.4,0.747,14.3,0,1,65.0
2004,79.0,0,9.15,87.0,7.89,89.0,0.1,2542.39935,0.3,0.884,18.4,1,0,79.2
2013,162.0,19,0.27,92.0,5.69,92.0,0.1,688.6172788,16.1,0.545,12.3,0,1,69.3
2006,66.0,1,10.31,92.0,8.49,92.0,0.1,36118.28381,0.7,0.915,20.3,1,0,81.2
2009,215.0,6,2.35,97.0,1.88,96.0,0.1,436.459223,3.2,0.0,10.5,0,1,65.6
2001,11.0,4,1.19,98.0,5.29,98.0,0.1,2254.933126,6.5,0.654,13.1,0,1,73.2
2009,162.0,0,11.46,99.0,7.55,99.0,0.1,12967.16543,1.8,0.816,15.3,1,0,74.2
2009,376.0,527,9.05,66.0,4.24,63.0,4.9,197.661422,11.7,0.487,9.3,0,1,51.6
2007,32.0,5,2.98,76.0,6.1,74.0,5.7,481.694976,8.7,0.394,8.8,0,1,55.0
2008,64.0,0,1.7,97.0,3.91,97.0,0.1,39721.4818,2.1,0.88,14.2,1,0,81.4
2012,61.0,0,6.21,95.0,9.16,95.0,0.1,11563.727,0.7,0.941,17.6,1,0,81.3
2012,19.0,1100,3.1,79.0,4.39,82.0,0.2,1446.98541,26.9,0.59,11.3,0,1,67.3
2006,2.0,0,0.99,99.0,6.66,99.0,0.1,948.6592511,1.3,0.47,8.4,0,1,67.6
2004,13.0,11,7.63,91.0,6.84,98.0,0.1,4251.574348,1.1,0.775,16.3,0,1,74.7
2002,263.0,2,2.43,98.0,5.81,98.0,0.1,571.51883,2.4,0.599,10.1,0,1,63.8
2002,11.0,1,1.72,94.0,2.72,94.0,0.1,31311.35936,5.3,0.803,12.1,0,1,74.7
2005,446.0,99,10.09,59.0,9.36,64.0,8.7,315.788227,6.5,0.429,10.9,0,1,53.2
2007,99.0,9,0.1,96.0,3.49,96.0,0.1,16472.1665,7.2,0.773,12.7,0,1,73.2
2006,177.0,1,13.16,99.0,8.1,99.0,0.1,11398.76584,2.0,0.802,15.2,1,0,73.4
2005,128.0,1,4.7,82.0,8.6,82.0,0.1,153.57521,2.8,0.703,12.2,0,1,73.9
2013,97.0,0,12.39,96.0,7.83,96.0,0.1,13574.749,1.5,0.817,14.9,1,0,77.7
2012,232.0,3,0.01,84.0,8.24,84.0,3.7,5749.44752,9.5,0.619,11.5,0,1,65.8
2002,16.0,422,2.91,86.0,4.79,86.0,0.1,1148.5857,5.5,0.6,9.7,0,1,72.7
2003,166.0,1,3.48,99.0,4.56,96.0,2.3,3465.221998,1.9,0.694,11.9,0,1,73.1
2009,165.0,2,0.09,78.0,1.2,72.0,0.1,757.3114436,11.6,0.599,12.1,0,1,66.6
2013,128.0,3,0.53,97.0,4.2,97.0,0.1,1882.27842,7.8,0.779,12.9,0,1,74.6
2004,81.0,0,9.56,95.0,8.3,95.0,0.1,21955.149,0.8,0.83,15.3,0,1,79.2
2005,147.0,0,8.15,98.0,4.41,99.0,0.1,11371.93895,3.5,0.0,0.0,0,1,74.6
2013,133.0,0,8.58,98.0,5.33,99.0,0.2,12224.86416,3.3,0.781,13.9,0,1,76.1
2006,211.0,0,2.06,98.0,3.84,98.0,0.1,3749.939813,4.1,0.695,14.0,0,1,68.5
2013,393.0,2,0.01,98.0,9.66,98.0,9.8,3598.75972,4.5,0.539,11.4,0,1,57.6
2007,12.0,3,1.24,98.0,5.64,98.0,0.1,3778.184171,6.3,0.695,14.3,0,1,74.6
2005,9.0,0,0.01,99.0,2.38,99.0,0.1,3549.26132,3.2,0.789,14.2,0,1,73.6
2007,187.0,0,6.37,9.0,4.82,88.0,0.7,1653.1844,6.1,0.76,12.4,0,1,69.7
2014,78.0,0,9.88,98.0,9.5,98.0,0.1,2277.53613,0.7,0.837,16.8,1,0,89.0
2008,6.0,0,10.29,96.0,1.29,95.0,0.1,72119.5687,0.5,0.914,15.3,1,0,82.0
2014,299.0,27,0.01,42.0,5.64,51.0,0.5,561.997387,7.5,0.412,8.6,0,1,58.1
2005,163.0,3,6.38,96.0,6.7,96.0,0.2,157.145691,2.3,0.646,12.3,0,1,72.1
2006,243.0,1,12.6,97.0,6.34,99.0,0.1,3848.215966,2.2,0.723,14.6,0,1,68.9
2008,128.0,1,7.17,9.0,8.99,92.0,0.1,3174.9491,2.6,0.735,13.1,0,1,73.9
2004,168.0,0,4.16,98.0,4.29,98.0,0.1,5229.876738,7.8,0.696,12.8,0,1,71.9
2009,95.0,1,1.62,75.0,7.42,81.0,0.1,84.268878,4.7,0.746,13.2,0,1,74.7
2014,117.0,0,0.01,95.0,4.76,95.0,0.2,3529.61843,6.8,0.643,13.5,0,1,73.0
2006,16.0,1,4.15,89.0,7.82,89.0,0.1,5245.187372,2.0,0.727,12.6,0,1,78.0
2006,36.0,5,3.22,74.0,5.87,71.0,5.6,418.94454,8.9,0.388,8.3,0,1,54.4
2013,52.0,0,9.73,96.0,11.71,96.0,0.1,84658.88768,0.4,0.934,15.8,1,0,83.0
2013,23.0,0,14.66,98.0,6.7,98.0,0.1,7978.825443,2.0,0.796,15.7,0,1,71.7
2010,98.0,1,4.13,99.0,1.19,96.0,0.1,5676.14143,3.4,0.784,17.6,0,1,78.0
2013,136.0,1,3.79,86.0,5.91,93.0,0.6,56.144952,1.8,0.727,12.8,0,1,75.6
2007,259.0,2,0.16,75.0,4.93,75.0,0.1,72.759313,7.3,0.459,10.0,0,1,66.0
2008,158.0,61,7.21,99.0,8.24,99.0,0.1,8787.61375,3.0,0.704,13.3,0,1,73.4
2002,117.0,0,9.29,93.0,8.62,93.0,0.1,11814.9994,2.1,0.835,15.6,1,0,76.6
2002,391.0,96,2.82,37.0,3.63,41.0,2.3,711.181716,1.5,0.401,5.5,0,1,46.5
2002,81.0,1,8.09,92.0,8.72,92.0,0.1,1411.31339,0.8,0.811,14.6,0,1,79.0
2014,252.0,1,0.38,78.0,1.57,78.0,2.1,174.91511,5.6,0.467,6.3,0,1,63.0
2004,247.0,1,12.05,99.0,6.59,99.0,0.1,2378.33927,2.4,0.703,14.1,0,1,68.2
2007,144.0,2,10.9,99.0,6.28,99.0,0.1,1126.31852,2.2,0.808,15.0,1,0,75.3
2006,96.0,0,10.15,97.0,8.38,97.0,0.1,4112.67651,0.9,0.869,17.2,0,1,79.2
2010,134.0,7,3.95,88.0,5.9,91.0,0.1,4657.32361,1.3,0.703,13.1,0,1,75.0
2004,83.0,0,2.16,98.0,3.37,98.0,0.1,15846.47641,6.1,0.803,13.9,0,1,75.2
2008,146.0,0,3.97,54.0,4.52,26.0,0.1,359.82223,0.2,0.688,12.9,0,1,72.5
2013,189.0,11,1.93,84.0,6.3,85.0,0.4,3452.828934,1.2,0.611,10.7,0,1,71.4
2011,153.0,4,3.1,97.0,8.57,97.0,0.4,212.584798,2.2,0.611,11.7,0,1,73.9
2000,279.0,25,1.34,78.0,4.34,78.0,2.0,374.1923942,9.7,0.389,6.4,0,1,55.4
2003,256.0,6,5.92,99.0,6.93,97.0,0.9,148.522488,2.8,0.691,14.3,0,1,67.6
2000,335.0,11,0.73,51.0,3.98,59.0,1.1,631.9468526,1.6,0.418,6.2,0,1,58.9
2003,185.0,0,7.41,99.0,4.64,99.0,0.1,8524.961236,6.1,0.713,12.1,0,1,72.1
2011,268.0,1,0.39,87.0,8.71,87.0,2.7,143.986898,5.6,0.451,5.9,0,1,61.8
2010,144.0,0,3.01,57.0,5.7,62.0,0.1,3453.487434,0.2,0.69,12.9,0,1,72.6
2011,88.0,0,5.37,99.0,5.71,99.0,0.1,4437.17868,1.4,0.738,13.3,0,1,76.6
2001,121.0,2,2.76,83.0,7.82,87.0,0.1,733.974142,3.0,0.673,11.7,0,1,73.0
2010,123.0,0,4.75,99.0,4.83,99.0,0.4,3312.825985,7.4,0.627,12.7,0,1,72.5
2003,1.0,1,4.04,88.0,8.45,88.0,0.1,4167.71417,2.2,0.715,12.1,0,1,78.0
2011,16.0,6,5.91,84.0,4.22,84.0,0.7,5759.643,3.3,0.703,13.0,0,1,73.1
2004,21.0,30,0.32,69.0,5.61,74.0,0.1,1391.816923,5.4,0.603,9.8,0,1,67.2
2008,126.0,10,8.41,94.0,6.66,93.0,0.1,8953.359275,1.0,0.792,16.3,0,1,75.4
2002,189.0,177,0.05,8.0,2.27,7.0,0.1,899.5556857,11.0,0.608,10.6,0,1,66.7
2011,61.0,1,2.67,94.0,7.39,94.0,0.1,33657.15727,1.2,0.883,15.8,0,1,81.8
2003,144.0,3,0.01,95.0,4.6,95.0,0.1,4676.96753,5.6,0.74,16.0,0,1,71.3
2001,29.0,1,0.14,88.0,5.91,88.0,0.1,87.9387673,18.9,0.0,7.6,0,1,61.7
2001,131.0,4,0.55,97.0,9.9,99.0,0.1,1728.2659,4.0,0.706,12.7,0,1,71.9
2001,686.0,25,1.72,76.0,6.16,75.0,42.1,548.587312,1.6,0.427,9.8,0,1,45.3
2011,26.0,20,0.32,89.0,4.42,92.0,0.4,18.25321,1.2,0.455,7.9,0,1,64.9
2003,28.0,56,0.1,44.0,6.23,41.0,1.6,215.8548,12.3,0.266,3.0,0,1,52.1
2014,69.0,0,1.15,99.0,2.19,89.0,0.1,86852.7119,5.2,0.854,13.4,0,1,78.1
2012,285.0,4,0.01,87.0,5.96,87.0,5.3,67.7518833,7.7,0.416,9.1,0,1,57.6
2007,74.0,2,8.3,9.0,9.83,94.0,0.1,44544.5268,0.5,0.894,15.8,0,1,85.0
2007,67.0,0,6.6,93.0,8.58,93.0,0.1,85128.65759,0.7,0.934,17.6,1,0,85.0
2013,46.0,62,1.16,78.0,5.9,78.0,5.1,65.985681,3.6,0.405,9.1,0,1,55.3
2003,83.0,2,12.09,99.0,7.99,98.0,0.1,21495.7741,0.6,0.83,15.6,1,0,79.4
2008,394.0,46,0.45,3.0,2.92,19.0,4.7,929.772391,9.8,0.338,6.0,0,1,49.6
2013,119.0,8,8.28,99.0,4.99,94.0,0.1,12976.63642,1.0,0.823,17.3,0,1,76.0
2014,11.0,21,0.01,95.0,7.21,95.0,0.1,547.8517,6.0,0.741,14.4,0,1,75.4
2011,15.0,3,5.79,84.0,9.42,89.0,0.1,3988.11894,2.1,0.675,12.3,0,1,73.4
2004,132.0,33,1.35,85.0,5.37,85.0,0.1,64.72953,5.1,0.675,12.0,0,1,72.0
2002,176.0,0,1.24,67.0,3.52,7.0,0.1,1353.934819,1.7,0.0,10.2,0,1,69.3
2011,122.0,0,5.07,9.0,4.6,9.0,0.3,367.429453,7.3,0.632,13.1,0,1,72.6
2007,26.0,1400,1.59,67.0,4.23,64.0,0.3,118.166373,27.1,0.546,9.9,0,1,65.2
2003,282.0,8,6.58,99.0,3.7,99.0,0.1,268.123657,2.5,0.714,13.1,0,1,64.4
2011,241.0,31,0.97,73.0,4.24,73.0,0.4,454.963464,7.5,0.504,10.2,0,1,63.8
2011,152.0,51,7.58,98.0,8.9,99.0,0.1,13167.47289,2.9,0.724,14.0,0,1,74.1
2002,262.0,1,12.23,99.0,6.47,99.0,0.1,1479.383142,2.5,0.687,13.6,0,1,67.2
2003,29.0,0,8.24,98.0,6.15,98.0,0.1,5134.95694,2.6,0.761,15.2,1,0,78.0
2007,123.0,38,5.35,98.0,5.92,98.0,0.1,933.341687,1.7,0.731,12.3,0,1,76.0
2004,578.0,36,2.46,84.0,7.33,83.0,17.6,53.2772217,7.2,0.456,10.5,0,1,47.9
2005,37.0,5,3.1,73.0,5.72,68.0,5.4,424.9534585,9.2,0.0,8.0,0,1,53.9
2006,115.0,1,0.58,98.0,2.31,98.0,0.1,1448.55,7.0,0.748,11.6,0,1,74.7
2006,15.0,1,3.63,99.0,4.22,95.0,1.5,4313.1682,1.9,0.709,12.5,0,1,74.0
2005,37.0,24,7.01,95.0,6.83,95.0,7.1,287.931877,6.8,0.388,8.8,0,1,55.3
2013,22.0,42,0.7,76.0,2.16,75.0,0.4,1168.83947,12.9,0.54,9.1,0,1,66.2
2007,157.0,0,1.01,67.0,3.67,67.0,0.1,2393.367265,1.6,0.579,10.7,0,1,73.0
2013,88.0,185,5.79,99.0,5.39,99.0,0.1,777.77594,3.8,0.713,12.7,0,1,75.6
2010,132.0,2,0.01,98.0,3.5,98.0,0.1,1212.56217,5.6,0.755,14.3,0,1,72.8
2009,97.0,0,4.75,9.0,9.64,9.0,0.1,4697.89732,2.7,0.716,13.3,0,1,76.1
2008,235.0,6,2.4,96.0,1.93,96.0,0.1,394.467675,3.2,0.0,10.5,0,1,64.5
2005,89.0,0,12.27,97.0,9.24,97.0,0.1,36967.28292,0.8,0.861,15.7,1,0,78.9
2013,97.0,1,1.29,75.0,6.63,81.0,0.1,846.285153,4.8,0.766,13.3,0,1,74.9
2000,115.0,1,3.92,98.0,6.7,95.0,0.1,2741.11542,3.6,0.679,12.1,0,1,76.9
2010,37.0,53,6.15,83.0,5.28,84.0,5.5,1182.869227,6.1,0.48,9.7,0,1,55.3
2014,169.0,0,15.19,93.0,6.55,93.0,0.1,16554.97139,2.6,0.841,16.5,1,0,73.4
2012,24.0,0,0.01,92.0,1.37,94.0,0.1,1763.815497,0.1,0.581,11.9,0,1,65.7
2001,69.0,0,10.16,97.0,5.78,97.0,0.1,1562.92433,0.9,0.8,12.4,1,0,78.2
2009,9.0,0,10.52,96.0,9.38,96.0,0.1,24633.79785,1.7,0.873,16.9,1,0,79.1
2002,337.0,35,0.21,56.0,3.76,53.0,3.0,322.811171,9.9,0.329,5.5,0,1,52.9
2001,434.0,77,1.63,77.0,4.62,8.0,16.9,41.7763612,9.0,0.447,8.4,0,1,51.9
2001,144.0,4,0.53,95.0,3.4,96.0,0.1,3915.11546,9.7,0.725,11.9,0,1,72.7
2003,182.0,11,0.36,82.0,4.46,85.0,0.3,236.314438,4.0,0.553,10.1,0,1,65.2
2004,512.0,17,1.5,45.0,4.1,51.0,12.0,313.21598,9.9,0.315,5.7,0,1,45.7
2003,215.0,0,0.5,79.0,9.98,7.0,0.1,115.3865,0.2,0.0,11.6,0,1,64.7
2011,139.0,0,2.15,6.0,5.8,65.0,0.1,3942.9827,0.2,0.693,12.9,0,1,73.0
2002,33.0,19,6.1,54.0,5.47,48.0,4.8,393.16327,4.6,0.444,8.0,0,1,59.3
2011,212.0,8,0.01,73.0,2.87,75.0,1.2,1393.261593,8.5,0.487,7.7,0,1,62.2
2003,216.0,1700,1.19,57.0,4.3,61.0,0.3,541.1352279,27.3,0.505,8.6,0,1,63.7
2001,145.0,20,0.23,89.0,3.84,89.0,0.1,1732.857979,6.4,0.644,10.9,0,1,71.4
2002,221.0,0,4.41,74.0,7.14,73.0,1.6,2232.513244,3.5,0.0,11.0,0,1,67.9
2007,51.0,3,5.55,88.0,7.5,87.0,40.7,347.48798,6.5,0.508,10.5,0,1,50.0
2007,436.0,2,6.21,96.0,4.71,96.0,13.4,5714.47937,9.2,0.63,12.1,0,1,56.9
2012,151.0,4,3.11,97.0,9.78,97.0,0.4,2178.38325,2.2,0.614,11.6,0,1,74.1
2013,75.0,0,9.5,94.0,11.25,94.0,0.1,61191.19263,1.1,0.924,18.7,1,0,81.0
2006,236.0,23,0.34,89.0,5.44,89.0,0.7,89.838296,11.2,0.422,6.6,0,1,61.3
2011,114.0,20,1.53,97.0,5.29,97.0,0.1,11341.13395,4.9,0.737,13.8,0,1,74.5
2010,362.0,79,10.03,79.0,11.2,8.0,8.0,594.9972557,6.0,0.473,10.9,0,1,58.4
2010,18.0,0,6.51,99.0,3.59,99.0,0.1,184.68447,5.8,0.74,13.2,0,1,72.4
2001,92.0,3,12.46,96.0,1.15,93.0,0.1,23687.31689,1.2,0.86,16.2,1,0,78.3
2000,82.0,2,7.6,88.0,8.67,89.0,0.1,24124.16917,0.5,0.864,15.9,0,1,79.1
2000,25.0,27,0.29,49.0,4.63,52.0,0.5,473.45338,12.3,0.378,5.2,0,1,57.5
2004,142.0,23,0.56,97.0,5.22,97.0,0.1,1948.812275,6.5,0.561,9.6,0,1,72.0
2013,183.0,11,0.01,66.0,5.93,83.0,0.2,128.419568,11.0,0.546,10.8,0,1,67.8
2012,65.0,0,0.01,99.0,9.16,99.0,0.1,6541.7465,13.8,0.675,12.1,0,1,77.6
2007,93.0,1,4.2,89.0,8.37,89.0,0.1,612.623418,1.9,0.734,12.8,0,1,78.9
2001,14.0,1,4.25,97.0,6.0,97.0,0.1,1326.97339,2.1,0.662,10.6,0,1,73.6
2003,13.0,9,0.05,95.0,4.2,95.0,0.1,9567.458285,7.2,0.747,12.2,0,1,73.0
2005,224.0,64,0.28,86.0,1.83,73.0,0.5,247.24276,13.2,0.465,7.9,0,1,63.9
2001,171.0,1,3.89,99.0,5.34,99.0,2.2,3394.878,2.0,0.68,10.9,0,1,72.7
2001,124.0,0,10.8,93.0,8.57,92.0,0.1,1479.29634,2.2,0.824,14.7,1,0,76.2
2005,2.0,364,0.04,78.0,2.91,77.0,0.1,711.4699463,21.2,0.487,6.1,0,1,62.9
2002,74.0,0,10.85,95.0,1.61,93.0,0.1,41336.72192,0.6,0.89,15.2,1,0,84.0
2007,63.0,0,10.44,94.0,1.21,94.0,0.1,63223.46778,0.5,0.911,15.3,1,0,81.7
2000,221.0,0,2.05,91.0,3.87,9.0,0.1,276.1338,4.3,0.681,13.1,0,1,67.7
2002,157.0,1,10.2,94.0,7.41,93.0,0.1,287.534843,2.4,0.723,12.9,1,0,71.8
2000,127.0,0,12.73,94.0,7.66,93.0,0.1,4919.62869,2.1,0.739,12.2,1,0,74.7
2004,213.0,174,0.06,79.0,2.37,71.0,0.1,1148.56996,1.9,0.624,11.0,0,1,65.3
2008,322.0,6,0.49,94.0,3.69,94.0,1.1,326.825642,9.1,0.406,5.2,0,1,67.0
2009,156.0,0,15.04,95.0,6.93,95.0,0.1,14726.31828,2.0,0.836,16.1,0,1,74.9
2010,287.0,4,3.21,82.0,6.7,83.0,5.9,543.957418,8.0,0.405,8.9,0,1,56.7
2009,283.0,44,4.55,91.0,7.41,92.0,1.1,552.7455521,9.3,0.356,5.9,0,1,56.9
2000,137.0,12,7.68,88.0,9.21,83.0,0.1,7669.273916,1.2,0.764,15.0,0,1,74.1
2012,69.0,0,11.49,95.0,8.32,95.0,0.1,49231.36254,0.3,0.895,18.5,1,0,85.0
2004,247.0,24,0.35,87.0,5.68,87.0,0.7,733.581811,11.6,0.408,6.2,0,1,59.7
2009,117.0,0,6.45,91.0,6.7,92.0,0.1,6698.79439,2.0,0.785,14.6,0,1,75.0
2013,62.0,0,6.21,94.0,9.39,94.0,0.1,1291.435,0.8,0.942,17.5,1,0,81.5
2010,228.0,1,0.28,92.0,5.17,91.0,0.5,2178.921383,16.6,0.0,11.4,0,1,67.9
2004,122.0,1,0.61,99.0,2.98,99.0,0.1,1129.28886,7.1,0.734,11.5,0,1,74.0
2005,14.0,0,11.14,95.0,8.5,95.0,0.1,18169.1891,1.9,0.853,16.3,1,0,77.5
2009,61.0,2,7.25,96.0,9.41,96.0,0.1,36976.84512,0.5,0.868,16.3,1,0,81.6
2004,17.0,1,4.38,98.0,6.14,88.0,0.1,339.716256,3.4,0.705,13.2,0,1,77.3
2000,189.0,30,1.6,99.0,5.29,99.0,0.1,558.221144,3.4,0.0,10.6,0,1,67.1
2013,12.0,1,0.46,99.0,2.76,98.0,0.1,21268.7564,7.0,0.796,13.7,0,1,76.2
2011,187.0,0,5.64,86.0,5.93,86.0,0.1,8318.97692,3.5,0.704,12.5,0,1,76.0
2009,183.0,25,0.22,93.0,6.41,89.0,0.2,48.7299,16.9,0.502,10.5,0,1,67.5
2004,334.0,33,0.34,65.0,3.14,6.0,2.8,386.3288283,9.5,0.325,5.1,0,1,54.0
2012,12.0,1,6.95,87.0,7.25,85.0,0.1,1589.82713,1.9,0.765,12.8,0,1,77.2
2001,679.0,2,5.48,97.0,5.73,97.0,37.2,3128.97793,11.8,0.56,11.8,0,1,46.7
