Year,Life expectancy ,Adult Mortality,infant deaths,Alcohol,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years,Income composition of resources,Schooling,Status_Developed,Status_Developing
2004,73.0,17.0,1,4.54,98.0,6.38,97.0,0.1,2416.588235,1.8,0.681,10.9,0,1
2003,72.8,18.0,1,4.29,97.0,6.27,97.0,0.1,189.681557,1.9,0.674,10.7,0,1
2002,73.3,15.0,1,3.73,98.0,6.3,98.0,0.1,1453.642777,2.0,0.67,10.7,0,1
2001,73.6,14.0,1,4.25,97.0,6.0,97.0,0.1,1326.97339,2.1,0.662,10.6,0,1
2000,72.6,11.0,1,3.66,97.0,6.26,97.0,0.1,1175.788981,2.1,0.656,10.7,0,1
2014,75.4,11.0,21,0.01,95.0,7.21,95.0,0.1,547.8517,6.0,0.741,14.4,0,1
2013,75.3,112.0,21,0.53,95.0,7.12,95.0,0.1,5471.866766,5.9,0.737,14.4,0,1
2012,75.1,113.0,21,0.66,95.0,6.14,95.0,0.1,5564.82566,5.9,0.732,14.4,0,1
2011,74.9,116.0,21,0.56,95.0,5.29,95.0,0.1,5432.2523,5.9,0.724,14.0,0,1
2010,74.7,119.0,21,0.45,95.0,5.12,95.0,0.1,4463.394675,5.9,0.714,13.6,0,1
2009,74.4,123.0,20,0.5,94.0,5.36,95.0,0.1,3868.83123,6.0,0.705,13.1,0,1
2008,74.1,126.0,20,0.46,92.0,4.2,93.0,0.1,495.254866,6.0,0.697,12.6,0,1
2007,73.8,129.0,20,0.44,95.0,3.82,95.0,0.1,3935.183343,6.0,0.69,12.3,0,1
2006,73.4,132.0,20,0.36,95.0,3.36,95.0,0.1,3464.6179,6.1,0.686,12.3,0,1
2005,72.9,136.0,19,0.5,88.0,3.24,88.0,0.1,31.122378,6.1,0.68,12.0,0,1
2004,72.3,14.0,19,0.45,86.0,3.54,86.0,0.1,2598.9823,6.2,0.673,11.7,0,1
2003,71.7,146.0,20,0.34,87.0,3.6,87.0,0.1,294.33556,6.3,0.663,11.5,0,1
2002,71.6,145.0,20,0.36,86.0,3.73,86.0,0.1,1774.33673,6.3,0.653,11.1,0,1
2001,71.4,145.0,20,0.23,89.0,3.84,89.0,0.1,1732.857979,6.4,0.644,10.9,0,1
2000,71.3,145.0,21,0.25,86.0,3.49,86.0,0.1,1757.17797,6.5,0.636,10.7,0,1
2014,51.7,348.0,67,8.33,68.0,3.31,64.0,2.0,479.31224,8.5,0.527,11.4,0,1
2013,51.1,355.0,69,8.1,67.0,4.26,77.0,2.3,484.616884,8.6,0.523,11.4,0,1
2012,56.0,358.0,72,8.24,75.0,3.3,75.0,2.6,4598.249988,8.8,0.508,10.3,0,1
2011,51.0,361.0,75,8.06,73.0,3.38,71.0,2.5,4299.12889,8.9,0.495,9.4,0,1
2010,49.6,365.0,78,7.8,81.0,3.39,77.0,2.5,3529.53482,9.1,0.488,9.0,0,1
2009,49.1,369.0,81,7.01,63.0,4.37,6.0,2.5,3347.84485,9.3,0.48,8.5,0,1
2008,48.7,371.0,84,7.07,65.0,3.84,69.0,2.6,3868.578883,9.5,0.468,8.1,0,1
2007,48.2,375.0,87,6.35,75.0,3.38,73.0,2.6,2878.837144,9.6,0.454,7.7,0,1
2006,47.7,381.0,90,5.84,36.0,4.54,34.0,2.5,262.415149,9.8,0.439,7.2,0,1
2005,47.4,382.0,92,5.04,39.0,4.1,38.0,2.6,1443.991929,1.0,0.426,6.8,0,1
2004,47.1,386.0,94,3.53,4.0,4.71,4.0,2.5,141.86844,1.2,0.415,6.4,0,1
2003,46.8,388.0,95,3.49,4.0,4.41,4.0,2.4,779.468356,1.4,0.406,5.9,0,1
2002,46.5,391.0,96,2.82,37.0,3.63,41.0,2.3,711.181716,1.5,0.401,5.5,0,1
2001,45.7,44.0,97,2.58,41.0,5.38,38.0,2.1,526.168743,1.7,0.391,5.1,0,1
2000,45.3,48.0,97,1.85,3.0,2.79,28.0,2.0,555.2969419,1.9,0.382,4.6,0,1
2014,76.2,131.0,0,8.56,96.0,5.54,99.0,0.2,12888.29667,3.3,0.782,13.9,0,1
2013,76.1,133.0,0,8.58,98.0,5.33,99.0,0.2,12224.86416,3.3,0.781,13.9,0,1
2012,75.9,134.0,0,8.18,97.0,5.39,98.0,0.2,12565.44197,3.3,0.778,13.8,0,1
2011,75.7,136.0,0,7.84,99.0,5.65,99.0,0.1,11929.34991,3.3,0.782,14.1,0,1
2010,75.6,138.0,0,7.84,99.0,5.63,98.0,0.1,12126.87614,3.3,0.783,14.1,0,1
2009,75.4,14.0,0,7.82,98.0,4.86,99.0,0.1,1312.46692,3.4,0.788,14.2,0,1
2008,75.2,142.0,0,8.27,99.0,4.69,99.0,0.1,1473.31923,3.4,0.786,14.4,0,1
2007,75.0,144.0,0,8.64,98.0,4.27,99.0,0.1,14252.29452,3.4,0.781,14.5,0,1
2006,74.8,145.0,0,8.93,99.0,4.34,99.0,0.1,12724.39377,3.4,0.773,14.7,0,1
2005,74.6,147.0,0,8.15,98.0,4.41,99.0,0.1,11371.93895,3.5,0.0,0.0,0,1
2004,74.4,149.0,0,7.28,97.0,4.21,97.0,0.1,1352.8374,3.5,0.0,0.0,0,1
2003,74.2,151.0,0,7.16,99.0,4.53,99.0,0.1,9739.82556,3.5,0.0,0.0,0,1
2002,74.0,153.0,0,7.21,93.0,4.41,98.0,0.1,9386.716452,3.6,0.0,0.0,0,1
2001,73.8,154.0,0,7.51,99.0,4.48,97.0,0.1,9358.154162,3.6,0.0,0.0,0,1
2000,73.6,156.0,0,7.27,96.0,4.13,95.0,0.1,9875.161736,3.7,0.0,0.0,0,1
2014,76.2,118.0,8,7.93,92.0,4.79,94.0,0.1,12245.25645,1.0,0.825,17.3,0,1
2013,76.0,119.0,8,8.28,99.0,4.99,94.0,0.1,12976.63642,1.0,0.823,17.3,0,1
2012,75.9,12.0,9,8.35,99.0,5.2,91.0,0.1,12969.7712,1.0,0.822,17.2,0,1
2011,75.7,12.0,9,8.11,93.0,5.89,91.0,0.1,12726.9836,1.0,0.816,17.1,0,1
2010,75.5,121.0,10,8.15,95.0,6.55,94.0,0.1,1276.265,1.0,0.802,16.8,0,1
2009,75.6,126.0,10,8.33,97.0,7.63,94.0,0.1,8161.36966,1.0,0.794,16.5,0,1
2008,75.4,126.0,10,8.41,94.0,6.66,93.0,0.1,8953.359275,1.0,0.792,16.3,0,1
2007,74.8,129.0,10,8.16,92.0,6.49,91.0,0.1,7193.61764,1.1,0.788,16.3,0,1
2006,75.2,127.0,11,7.75,92.0,6.68,91.0,0.1,5878.76127,1.1,0.782,16.1,0,1
2005,74.9,127.0,11,7.53,95.0,6.85,98.0,0.1,576.883829,1.1,0.78,16.3,0,1
2004,74.7,13.0,11,7.63,91.0,6.84,98.0,0.1,4251.574348,1.1,0.775,16.3,0,1
2003,74.1,137.0,11,7.62,95.0,8.22,96.0,0.1,333.4376,1.2,0.77,16.4,0,1
2002,74.1,138.0,12,7.81,94.0,8.31,93.0,0.1,2579.193168,1.2,0.776,16.3,0,1
2001,74.0,138.0,12,7.76,85.0,9.38,83.0,0.1,717.694674,1.2,0.771,15.6,0,1
2000,74.1,137.0,12,7.68,88.0,9.21,83.0,0.1,7669.273916,1.2,0.764,15.0,0,1
2014,74.6,12.0,1,3.91,95.0,4.48,93.0,0.1,3994.712355,2.1,0.739,12.7,0,1
2013,74.4,123.0,1,3.79,96.0,4.55,95.0,0.1,3843.591213,2.1,0.736,12.7,0,1
2012,74.4,121.0,1,3.89,96.0,4.48,95.0,0.1,3684.8481,2.0,0.732,12.7,0,1
2011,73.9,128.0,1,4.09,96.0,3.71,95.0,0.1,3526.978143,2.0,0.729,12.7,0,1
2010,73.5,132.0,1,4.23,96.0,4.56,94.0,0.1,3218.381655,2.0,0.72,12.3,0,1
2009,73.3,137.0,1,3.96,94.0,4.55,93.0,0.1,2993.832531,2.0,0.725,11.9,0,1
2008,73.2,14.0,1,3.96,91.0,3.8,89.0,0.1,41.26997,2.0,0.721,12.3,0,1
2007,73.5,132.0,1,3.99,9.0,4.31,88.0,0.1,3138.8873,2.0,0.707,11.7,0,1
2006,72.9,141.0,1,4.01,87.0,4.58,87.0,0.1,2158.299,2.0,0.692,11.2,0,1
2005,73.0,137.0,1,4.25,92.0,5.25,9.0,0.1,1643.758397,2.0,0.679,10.9,0,1
2004,73.0,132.0,1,3.81,93.0,5.5,91.0,0.1,1191.96192,2.0,0.668,10.9,0,1
2003,72.7,134.0,1,3.03,96.0,5.56,94.0,0.1,93.1661567,2.0,0.657,10.8,0,1
2002,72.6,134.0,1,2.86,96.0,5.4,94.0,0.1,783.261699,2.1,0.645,10.8,0,1
2001,72.6,141.0,1,2.86,97.0,5.94,94.0,0.1,694.435119,2.1,0.644,11.1,0,1
2000,72.0,142.0,1,2.9,96.0,6.25,93.0,0.1,622.7427477,2.1,0.639,11.2,0,1
2014,82.7,6.0,1,9.71,92.0,9.42,92.0,0.1,62214.6912,0.6,0.936,20.4,1,0
2013,82.5,61.0,1,9.87,91.0,9.36,91.0,0.1,67792.3386,0.6,0.933,20.3,1,0
2012,82.3,61.0,1,10.03,92.0,9.36,92.0,0.1,67677.63477,0.6,0.93,20.1,1,0
2011,82.0,63.0,1,10.3,92.0,9.2,92.0,0.1,62245.129,0.6,0.927,19.8,1,0
2010,81.9,64.0,1,10.52,92.0,9.2,92.0,0.1,51874.848,0.7,0.927,19.5,1,0
2009,81.7,66.0,1,10.62,92.0,9.5,92.0,0.1,42742.99898,0.7,0.925,19.1,1,0
2008,81.3,66.0,1,10.76,92.0,8.78,92.0,0.1,49664.6854,0.7,0.921,19.1,1,0
2007,81.3,66.0,1,10.56,92.0,8.53,92.0,0.1,4991.98289,0.7,0.918,19.0,1,0
2006,81.2,66.0,1,10.31,92.0,8.49,92.0,0.1,36118.28381,0.7,0.915,20.3,1,0
2005,81.0,67.0,1,10.3,92.0,8.45,92.0,0.1,3416.71483,0.7,0.91,20.3,1,0
2004,86.0,69.0,1,9.84,92.0,8.57,92.0,0.1,3472.37977,0.7,0.908,20.7,1,0
2003,83.0,71.0,1,9.97,92.0,8.32,93.0,0.1,23465.38559,0.7,0.905,20.6,1,0
2002,79.9,73.0,1,9.84,92.0,8.39,92.0,0.1,281.81763,0.7,0.902,20.1,1,0
2001,79.9,75.0,1,9.53,91.0,8.18,92.0,0.1,19517.84168,0.7,0.899,20.5,1,0
2000,79.5,78.0,1,10.17,9.0,8.8,9.0,0.1,2169.921,0.7,0.897,20.4,1,0
2014,81.4,66.0,0,12.32,98.0,11.21,98.0,0.1,51322.63997,1.8,0.892,15.9,1,0
2013,81.1,68.0,0,11.82,95.0,11.14,95.0,0.1,554.71532,1.8,0.887,15.7,1,0
2012,88.0,7.0,0,12.26,92.0,11.17,92.0,0.1,48333.57273,1.8,0.884,15.7,1,0
2011,88.0,73.0,0,12.04,89.0,1.94,89.0,0.1,51126.74139,1.7,0.88,15.7,1,0
2010,84.0,75.0,0,12.1,86.0,11.17,86.0,0.1,46657.629,1.7,0.872,15.4,1,0
2009,82.0,77.0,0,11.3,83.0,11.19,83.0,0.1,47654.18721,1.7,0.87,15.3,1,0
2008,84.0,76.0,0,12.0,83.0,1.6,83.0,0.1,51386.37665,1.7,0.864,15.1,1,0
2007,81.0,8.0,0,12.5,85.0,1.4,85.0,0.1,46586.6525,1.7,0.86,15.2,1,0
2006,79.8,81.0,0,12.4,83.0,1.35,83.0,0.1,443.99361,1.7,0.854,15.0,1,0
2005,79.4,85.0,0,12.4,86.0,1.53,86.0,0.1,38242.4252,1.7,0.848,14.9,1,0
2004,79.3,86.0,0,12.1,83.0,1.56,83.0,0.1,36693.4262,1.7,0.841,14.7,1,0
2003,78.8,88.0,0,12.2,84.0,1.48,84.0,0.1,3212.9355,1.7,0.837,14.7,1,0
2002,78.7,9.0,0,12.5,82.0,1.27,83.0,0.1,26351.37568,1.7,0.847,16.1,1,0
2001,78.6,92.0,0,12.4,83.0,1.12,84.0,0.1,24489.73553,1.7,0.837,15.5,1,0
2000,78.1,96.0,0,13.2,71.0,1.6,81.0,0.1,24517.26745,1.7,0.833,15.4,1,0
2014,72.5,119.0,5,0.01,97.0,6.4,94.0,0.1,7891.299776,2.8,0.752,12.2,0,1
2013,72.2,121.0,5,2.14,96.0,5.54,93.0,0.1,7875.756953,2.8,0.745,11.9,0,1
2012,71.9,123.0,5,0.01,92.0,5.37,89.0,0.1,7496.335728,2.8,0.742,11.8,0,1
2011,71.6,125.0,5,1.98,91.0,5.1,87.0,0.1,7189.691229,2.8,0.741,11.7,0,1
2010,71.1,13.0,5,1.98,85.0,5.33,81.0,0.1,5842.85784,2.8,0.737,11.7,0,1
2009,78.0,132.0,6,2.1,84.0,5.85,81.0,0.1,495.294791,2.8,0.728,11.6,0,1
2008,73.0,141.0,6,1.18,85.0,4.37,81.0,0.1,5574.6382,2.8,0.719,11.6,0,1
2007,73.0,14.0,6,1.02,81.0,5.1,79.0,0.1,3851.437869,2.8,0.708,11.6,0,1
2006,69.2,154.0,6,0.85,8.0,6.17,78.0,0.1,2473.85776,2.9,0.682,10.7,0,1
2005,68.4,162.0,6,0.73,79.0,7.86,75.0,0.1,1578.4239,2.9,0.675,11.2,0,1
2004,68.4,154.0,6,0.62,78.0,7.92,77.0,0.1,145.2163,3.0,0.668,11.0,0,1
2003,67.8,154.0,7,0.55,79.0,6.56,77.0,0.1,883.6439965,3.0,0.659,10.8,0,1
2002,67.8,146.0,7,0.55,8.0,4.47,76.0,0.1,763.73858,3.1,0.651,10.6,0,1
2001,67.5,151.0,8,0.51,77.0,4.48,77.0,0.1,73.6838434,3.1,0.642,10.4,0,1
2000,66.6,16.0,9,0.65,75.0,4.67,76.0,0.1,655.974326,3.2,0.636,10.1,0,1
2014,76.8,7.0,0,1.57,98.0,4.98,98.0,0.1,24983.3792,6.1,0.82,14.5,0,1
2013,76.7,7.0,0,1.65,99.0,4.69,99.0,0.1,251.18329,6.1,0.815,14.5,0,1
2012,76.5,71.0,0,1.7,99.0,4.37,99.0,0.1,23649.36661,6.1,0.812,14.5,0,1
2011,76.1,76.0,0,1.66,99.0,3.4,99.0,0.1,2281.1242,6.1,0.812,14.4,0,1
2010,76.1,73.0,0,1.93,99.0,3.64,99.0,0.1,2722.1389,6.0,0.81,14.4,0,1
2009,76.0,74.0,0,1.95,97.0,3.79,98.0,0.1,19356.67236,6.0,0.814,14.4,0,1
2008,75.8,76.0,0,2.0,97.0,3.17,97.0,0.1,2367.56535,6.0,0.815,14.4,0,1
2007,75.6,77.0,0,2.0,97.0,3.8,97.0,0.1,2977.1153,6.1,0.813,14.4,0,1
2006,75.5,79.0,0,2.1,98.0,3.8,98.0,0.1,1937.99549,6.1,0.81,14.2,0,1
2005,75.3,81.0,0,2.05,98.0,3.16,98.0,0.1,17959.17854,6.1,0.806,14.0,0,1
2004,75.2,83.0,0,2.16,98.0,3.37,98.0,0.1,15846.47641,6.1,0.803,13.9,0,1
2003,75.0,85.0,0,2.16,97.0,3.74,97.0,0.1,14221.99259,6.1,0.798,13.7,0,1
2002,74.9,87.0,0,1.99,98.0,3.89,98.0,0.1,1312.33457,6.2,0.796,13.5,0,1
2001,74.7,9.0,0,1.95,99.0,3.8,99.0,0.1,12868.211,6.2,0.794,13.3,0,1
2000,74.5,92.0,0,2.15,97.0,3.51,97.0,0.1,13636.34668,6.2,0.786,13.2,0,1
2014,71.4,132.0,98,0.01,97.0,2.82,97.0,0.1,184.56543,18.1,0.57,10.0,0,1
2013,71.0,135.0,104,0.01,96.0,2.88,96.0,0.1,951.8894535,18.3,0.565,10.0,0,1
2012,77.0,137.0,111,0.01,94.0,3.8,94.0,0.1,856.342857,18.5,0.557,9.9,0,1
2011,73.0,14.0,118,0.01,96.0,3.16,96.0,0.1,835.789341,18.7,0.545,9.4,0,1
2010,69.9,142.0,126,0.01,94.0,3.6,94.0,0.1,757.6717572,18.9,0.535,8.9,0,1
2009,69.5,144.0,135,0.01,97.0,2.91,97.0,0.1,681.125368,19.1,0.523,8.4,0,1
2008,69.1,147.0,144,0.01,96.0,2.85,96.0,0.1,615.7775411,19.3,0.52,8.6,0,1
2007,68.6,151.0,154,0.01,96.0,2.8,94.0,0.1,541.651484,19.5,0.513,8.6,0,1
2006,68.2,152.0,164,0.01,95.0,2.8,94.0,0.1,494.51466,19.7,0.506,8.4,0,1
2005,67.8,155.0,174,0.01,94.0,2.68,93.0,0.1,484.155471,19.9,0.499,8.2,0,1
2004,67.3,158.0,185,0.01,88.0,2.62,99.0,0.1,46.7579167,2.1,0.491,8.1,0,1
2003,66.8,161.0,196,0.01,9.0,2.51,87.0,0.1,432.7388972,2.3,0.484,7.9,0,1
2002,66.3,164.0,207,0.01,83.0,2.59,83.0,0.1,4.6135745,2.5,0.476,7.7,0,1
2001,65.8,168.0,219,0.01,85.0,2.47,85.0,0.1,42.5981152,2.7,0.468,7.5,0,1
2000,65.3,173.0,231,0.01,83.0,2.33,82.0,0.1,45.63371,2.9,0.459,7.3,0,1
2014,75.4,1.0,0,8.82,95.0,7.47,94.0,0.1,15359.66971,3.8,0.793,15.3,0,1
2013,75.2,11.0,0,8.74,91.0,7.57,91.0,0.1,15472.7814,3.8,0.792,15.3,0,1
2012,75.1,12.0,0,8.61,88.0,7.43,87.0,0.1,15384.8749,3.8,0.785,15.3,0,1
2011,74.9,14.0,0,8.51,91.0,6.67,91.0,0.1,15534.1574,3.8,0.78,15.5,0,1
2010,74.7,16.0,0,8.41,9.0,6.17,86.0,0.1,1595.91232,3.8,0.781,15.8,0,1
2009,74.6,19.0,0,8.46,93.0,6.21,93.0,0.1,16523.32388,3.8,0.779,15.5,0,1
2008,74.4,111.0,0,8.95,85.0,6.1,85.0,0.1,1657.3228,3.9,0.775,15.3,0,1
2007,74.2,113.0,0,8.47,93.0,5.64,93.0,0.1,16462.48556,3.9,0.771,15.0,0,1
2006,74.1,115.0,0,8.39,85.0,5.27,84.0,0.1,15646.5591,4.0,0.766,14.8,0,1
2005,73.9,117.0,0,8.01,91.0,5.38,92.0,0.1,14223.86576,4.0,0.761,14.6,0,1
2004,73.8,119.0,0,7.68,93.0,5.71,93.0,0.2,12868.8639,4.1,0.757,14.4,0,1
2003,73.7,121.0,0,7.65,9.0,5.82,89.0,0.4,1228.5447,4.1,0.753,14.2,0,1
2002,73.5,123.0,0,7.59,86.0,5.76,87.0,0.8,11675.39395,4.2,0.749,14.0,0,1
2001,73.4,125.0,0,7.38,93.0,5.47,84.0,0.7,11513.87189,4.2,0.75,14.0,0,1
2000,73.3,127.0,0,7.43,86.0,5.16,93.0,0.9,11568.1111,4.3,0.741,14.0,0,1
2014,72.0,199.0,0,13.94,97.0,5.69,97.0,0.1,8318.429294,1.9,0.796,15.7,0,1
2013,71.7,23.0,0,14.66,98.0,6.7,98.0,0.1,7978.825443,2.0,0.796,15.7,0,1
2012,71.9,194.0,0,16.35,98.0,5.1,98.0,0.1,694.243915,2.0,0.793,15.6,0,1
2011,72.0,232.0,0,17.31,98.0,4.92,98.0,0.1,6519.71753,2.0,0.787,15.5,0,1
2010,73.0,222.0,0,14.44,99.0,5.55,98.0,0.1,63.38877,2.0,0.78,15.5,0,1
2009,70.0,226.0,0,14.09,98.0,6.9,96.0,0.1,5176.172649,2.1,0.771,15.4,0,1
2008,70.0,224.0,1,14.67,98.0,5.95,97.0,0.1,6376.183153,2.1,0.755,15.1,0,1
2007,69.8,226.0,1,14.22,9.0,6.44,95.0,0.1,4735.484827,2.2,0.739,14.9,0,1
2006,68.9,243.0,1,12.6,97.0,6.34,99.0,0.1,3848.215966,2.2,0.723,14.6,0,1
2005,68.1,252.0,1,11.01,98.0,6.89,99.0,0.1,3126.71767,2.3,0.713,14.4,0,1
2004,68.2,247.0,1,12.05,99.0,6.59,99.0,0.1,2378.33927,2.4,0.703,14.1,0,1
2003,67.7,253.0,1,11.17,53.0,6.59,5.0,0.1,1819.525644,2.5,0.695,13.9,0,1
2002,67.2,262.0,1,12.23,99.0,6.47,99.0,0.1,1479.383142,2.5,0.687,13.6,0,1
2001,67.7,254.0,1,10.74,99.0,6.62,99.0,0.1,1244.373185,2.6,0.681,13.3,0,1
2000,68.0,247.0,1,12.98,99.0,6.13,99.0,0.1,1276.28834,2.7,0.675,13.1,0,1
2014,89.0,76.0,0,12.6,99.0,1.59,99.0,0.1,47439.39684,1.0,0.89,16.3,1,0
2013,87.0,77.0,0,11.77,99.0,1.57,99.0,0.1,4651.38647,1.0,0.889,16.3,1,0
2012,83.0,78.0,0,10.08,99.0,1.54,99.0,0.1,4474.5717,0.9,0.886,16.2,1,0
2011,83.0,8.0,0,10.11,98.0,1.42,98.0,0.1,4772.77415,0.9,0.884,16.1,1,0
2010,80.0,81.0,0,10.22,98.0,1.17,98.0,0.1,4438.23741,0.9,0.878,15.9,1,0
2009,79.8,85.0,0,10.05,98.0,1.39,98.0,0.1,4488.5615,0.9,0.876,15.8,1,0
2008,79.5,87.0,0,10.47,99.0,9.6,99.0,0.1,48424.58927,0.8,0.874,15.8,1,0
2007,79.5,86.0,0,10.25,99.0,9.25,98.0,0.1,4443.83131,0.8,0.871,15.8,1,0
2006,79.4,85.0,0,10.98,99.0,9.17,98.0,0.1,38852.3613,0.8,0.865,15.7,1,0
2005,78.9,89.0,0,12.27,97.0,9.24,97.0,0.1,36967.28292,0.8,0.861,15.7,1,0
2004,78.8,91.0,1,12.05,96.0,9.32,95.0,0.1,35589.71295,0.8,0.88,18.8,1,0
2003,78.3,95.0,0,11.28,96.0,9.3,95.0,0.1,3743.95693,0.8,0.878,18.6,1,0
2002,78.0,99.0,1,11.29,96.0,8.46,95.0,0.1,2552.3328,0.8,0.875,18.8,1,0
2001,78.0,1.0,1,11.01,96.0,8.29,95.0,0.1,23121.56635,0.8,0.873,18.2,1,0
2000,77.6,11.0,1,11.21,96.0,8.12,95.0,0.1,2327.4591,0.8,0.869,18.0,1,0
2014,70.0,177.0,0,6.58,95.0,5.79,95.0,0.2,4852.223666,3.4,0.705,12.8,0,1
2013,69.8,18.0,0,6.56,95.0,5.79,95.0,0.2,4688.538443,3.4,0.706,12.9,0,1
2012,69.4,189.0,0,6.66,98.0,5.45,98.0,0.1,4673.63848,3.5,0.702,12.5,0,1
2011,69.4,188.0,0,6.64,95.0,5.61,95.0,0.5,4516.24675,3.5,0.7,12.4,0,1
2010,69.5,186.0,0,6.76,96.0,5.85,96.0,0.2,4344.15177,3.5,0.7,12.4,0,1
2009,69.5,184.0,0,6.85,98.0,5.81,97.0,0.3,4258.788611,3.5,0.7,12.7,0,1
2008,69.6,181.0,0,7.22,94.0,5.9,94.0,0.1,447.22796,3.5,0.699,12.8,0,1
2007,69.6,181.0,0,7.24,97.0,4.76,96.0,0.6,4324.876427,3.5,0.7,12.8,0,1
2006,69.4,184.0,0,6.48,98.0,4.4,98.0,0.6,4187.3783,3.6,0.692,12.3,0,1
2005,69.0,191.0,0,6.25,96.0,4.45,96.0,0.8,3933.332215,3.6,0.695,12.8,0,1
2004,68.7,197.0,0,6.2,97.0,4.39,97.0,0.8,3831.53819,3.6,0.691,12.5,0,1
2003,68.4,21.0,0,5.67,95.0,4.53,96.0,1.5,3679.99523,3.6,0.684,12.2,0,1
2002,68.5,199.0,0,4.99,93.0,4.38,89.0,0.1,3556.561825,3.7,0.678,11.9,0,1
2001,68.2,21.0,0,4.9,96.0,4.5,96.0,0.4,3419.275719,3.7,0.677,11.8,0,1
2000,68.3,196.0,0,4.79,91.0,3.98,91.0,0.3,3364.423711,3.8,0.668,11.7,0,1
2014,59.7,252.0,25,0.01,74.0,4.59,78.0,1.1,943.686575,7.1,0.475,10.7,0,1
2013,59.5,251.0,25,0.01,73.0,4.59,77.0,1.2,915.2674586,7.2,0.466,10.3,0,1
2012,59.3,251.0,25,0.01,8.0,4.86,8.0,1.3,837.9551,7.4,0.458,10.0,0,1
2011,59.1,251.0,25,1.4,77.0,5.37,75.0,1.4,825.9427854,7.6,0.454,9.8,0,1
2010,58.7,254.0,25,1.33,77.0,4.95,76.0,1.4,757.695974,7.8,0.451,9.5,0,1
2009,58.4,259.0,25,1.16,8.0,4.46,79.0,1.6,793.45243,7.9,0.448,9.3,0,1
2008,57.6,278.0,25,1.28,77.0,4.2,75.0,1.8,82.1513498,8.1,0.444,9.1,0,1
2007,57.1,283.0,25,1.12,82.0,4.55,82.0,2.0,76.535419,8.3,0.438,8.9,0,1
2006,56.8,284.0,25,1.19,76.0,4.75,74.0,2.0,625.8392,8.5,0.434,8.7,0,1
2005,56.5,285.0,25,1.13,73.0,4.73,7.0,2.1,61.799977,8.7,0.43,8.5,0,1
